asset	exit	failed_at	iou	mae	edge_f1	jaggedness	staircase	agreement_iou	svg_bytes
monitor-glyph	0	-	0.9542	0.0	0.991	2.0098	None	-	2684
monitor-glyph.low	0	-	0.9607	0.0	0.9864	4.2028	None	0.8181	3707
gamepad-glyph	0	-	0.9718	0.0	0.9901	1.5733	None	-	2435
gamepad-glyph.low	0	-	0.9575	0.0	0.9873	2.1296	None	0.8682	2536
x-glyph	0	-	0.9609	0.0	0.9963	3.9776	None	-	3832
x-glyph.low	1	prep:source-quality	-	-	-	-	-	-	-
clock-glyph	0	-	0.9529	0.0	0.9871	2.7107	None	-	2948
clock-glyph.low	1	prep:source-quality	-	-	-	-	-	-	-
thermometer-glyph	0	-	0.9652	0.0	0.9811	1.7264	None	-	2005
thermometer-glyph.low	1	prep:source-quality	-	-	-	-	-	-	-
facebook-mark	0	-	0.9557	11.4573	0.9234	3.1407	None	-	1075
facebook-mark.low	1	prep:source-quality	-	-	-	-	-	-	-
instagram-mark	1	auto:mae	0.9693	16.4778	0.9355	4.1936	None	-	7864
instagram-mark.low	1	prep:source-quality	-	-	-	-	-	-	-
whatsapp-mark	1	auto:mae	0.9502	15.464	0.914	6.0119	None	-	7911
whatsapp-mark.low	1	prep:source-quality	-	-	-	-	-	-	-
alert-mark	0	-	0.9785	9.7785	0.9835	0.0061	None	-	762
alert-mark.low	1	prep:source-quality	-	-	-	-	-	-	-
facebook-banner-mark	0	-	0.967	11.963	0.9638	3.3372	None	-	988
facebook-banner-mark.low	1	prep:source-quality	-	-	-	-	-	-	-
