set	px	outcome	count
composite	-	correct	29
composite	-	missed	158
confusers	-	correct	1
confusers	-	missed	23
ladder	-	correct	147
ladder	-	missed	173
negatives	-	refused	91
stroked	-	correct	52
stroked	-	missed	108
composite	8	missed	23
composite	10	correct	1
composite	10	missed	22
composite	12	missed	23
composite	16	missed	23
composite	20	correct	3
composite	20	missed	20
composite	24	correct	6
composite	24	missed	17
composite	32	correct	9
composite	32	missed	14
composite	40	correct	10
composite	40	missed	13
ladder	8	missed	40
ladder	10	correct	4
ladder	10	missed	36
ladder	12	correct	9
ladder	12	missed	31
ladder	16	correct	17
ladder	16	missed	23
ladder	20	correct	18
ladder	20	missed	22
ladder	24	correct	30
ladder	24	missed	10
ladder	32	correct	34
ladder	32	missed	6
ladder	40	correct	35
ladder	40	missed	5
stroked	8	missed	20
stroked	10	correct	1
stroked	10	missed	19
stroked	12	correct	5
stroked	12	missed	15
stroked	16	missed	20
stroked	20	correct	6
stroked	20	missed	14
stroked	24	correct	10
stroked	24	missed	10
stroked	32	correct	14
stroked	32	missed	6
stroked	40	correct	16
stroked	40	missed	4
